mearth,earth,mercury,moon,0.01_hhe,0.1_hhe,1_hhe,halfwater,allwater,allfe,10_hhe,20_water,10_water,3_water,60_hhe
2.638766,8301.118717,7583.021358,9145.004217,10790.218431000001,13703.318361000001,20464.996356,13430.694611,16963.733038999995,6506.965515,,11139.112096882662,10198.440892883827,9400.713438582232,64481.544973990276
2.647766,8308.797565,7589.990003,9153.254155,10795.972482,13701.704342000005,20438.141183,13436.422943000001,16967.444308999995,6513.145417,,11145.404554462162,10205.062323115786,9407.598285084854,64455.75572378153
2.656796,8316.483516,7596.965053,9161.511534000001,10801.729602,13700.090513999998,20411.321250999998,13442.153718000001,16971.156391999997,6519.331188,,11151.7062861704,10211.69199508478,9414.491123599006,64429.88050940542
2.6658560000000002,8324.176577,7603.946512,9169.776362999999,10807.489792,13698.476875,20384.536513,13447.886937000001,16974.869286,6525.522833,,11158.017207654017,10218.329807896693,9421.391846160812,64403.91933086194
2.674948,8331.876754,7610.934387,9178.048648000002,10813.253054,13696.863427,20357.786924,13453.622602000001,16978.582993,6531.72036,,11164.338623985337,10224.977121566579,9428.30186341491,64377.86645720661
2.684071,8339.584054,7617.928684,9186.328395,10819.019389000001,13695.250168999999,20331.072437,13459.360712,16982.297512,6537.923772,,11170.669750053623,10231.633097596128,9435.220300410727,64351.72475391168
2.693225,8347.298483,7624.929408,9194.615612,10824.788799000002,13693.637100999998,20304.393006,13465.101271000001,16986.012844,6544.133076,,11177.010498146035,10238.297631115169,9442.147044944291,64325.49422097713
2.702409,8355.020048999999,7631.936565999999,9202.910305,10830.561286,13692.024222,20277.748585,13470.844277000002,16989.728989,6550.348277,,11183.360090006521,10244.969891727547,9449.081230865866,64299.17772387523
2.711626,8362.748757999998,7638.9501629999995,9211.212481,10836.336851,13690.411534,20251.139128,13476.589733,16993.445946,6556.569381,,11189.720510467128,10251.651952219469,9456.025009075956,64272.76666618922
2.7208740000000002,8370.484615999998,7645.970206,9219.522146,10842.115495999999,13688.799036000002,20224.564588999998,13482.33764,16997.163717,6562.796393,,11196.090288317631,10258.342253817962,9462.976756417964,64246.26677886361
2.730153,8378.227629,7652.996699999999,9227.839308,10847.897222,13687.186727,20198.024922999997,13488.087998000005,17000.882300999998,6569.029319,,11202.469336591192,10265.040692533996,9469.936361722324,64219.67806189839
2.739464,8385.977806,7660.029651000001,9236.163973,10853.682031999999,13685.574609000001,20171.520083000003,13493.840808,17004.601698999995,6575.2681649999995,,11208.858254033214,10271.747884190836,9476.904461630413,64192.997649821315
2.748806,8393.735151,7667.069064999999,9244.496147,10859.469927,13683.96268,20145.050024,13499.596072,17008.321911000003,6581.512936,,11215.256265944236,10278.463002600423,9483.880194644542,64166.22840810464
2.758181,8401.499673,7674.114948,9252.835839,10865.260908,13682.350940999999,20118.614701,13505.353791,17012.042936,6587.763638,,11221.664651767212,10285.187377467966,9490.86493882989,64139.36460580386
2.767587,8409.271377,7681.167306999999,9261.183054000001,10871.054977,13680.739392,20092.214066999997,13511.113965999999,17015.764776,6594.0202770000005,,11228.081954291478,10291.919466584106,9497.857089038107,64112.41197386347
2.7770259999999998,8417.050269999998,7688.226145999999,9269.537799,10876.852136,13679.128033000005,20065.848078,13516.876597,17019.487429,6600.282858,,11234.509448144883,10298.660593961527,9504.858017226716,64085.36478133898
2.7864970000000002,8424.836358,7695.291472,9277.900081,10882.652386,13677.516864,20039.516687,13522.641687000001,17023.210897999998,6606.551386,,11240.946360738551,10305.409935917098,9511.866864691689,64058.22589370264
2.7960000000000003,8432.62965,7702.363292,9286.269907,10888.455729000001,13675.905884,20013.21985,13528.409235,17026.93518,6612.825868,,11247.392602602338,10312.167385514273,9518.883517228349,64030.995310954444
2.805535,8440.43015,7709.44161,9294.647283,10894.262167,13674.295095,19986.95752,13534.179243,17030.660278,6619.106309000001,,11253.848084478805,10318.932836072005,9525.907860930081,64003.6730330944
2.8151029999999997,8448.237866,7716.526433,9303.032217000002,10900.071702,13672.684494,19960.729653,13539.951712,17034.38619,6625.392715,,11260.313392394453,10325.706888385532,9532.940516375562,63976.256194650254
2.824704,8456.052805,7723.617765999999,9311.424716,10905.884334,13671.074084000002,19934.536204,13545.726643,17038.112917999995,6631.685092000001,,11266.788433599711,10332.489431649466,9539.981365248706,63948.744795622006
2.834337,8463.874972,7730.715617,9319.824784999999,10911.700067,13669.463863000004,19908.377127,13551.504037,17041.840461,6637.9834439999995,,11273.272443114372,10339.279651205392,9547.029558706332,63921.14170148191
2.844004,8471.704376,7737.819990000001,9328.232431999999,10917.5189,13667.853831999999,19882.252378,13557.283894999999,17045.56882,6644.287778,,11279.76667483858,10346.078846564267,9554.086442398198,63893.44118128547
2.853703,8479.541021,7744.930892,9336.647664,10923.340837,13666.243991,19856.16191,13563.066219,17049.297994,6650.5981,,11286.269693101603,10352.885501044528,9561.150438953033,63865.64896597717
2.863435,8487.384917,7752.048329000001,9345.070488,10929.168947,13664.870463,19831.300326,13568.926443,17053.275213999998,6656.914414,,11292.782078499717,10359.700209041568,9568.222162153495,63837.76219008478
2.873201,8495.236068,7759.172306,9353.500909999999,10935.007986,13664.098219,19809.508035,13574.981348,17057.882989999995,6663.236728,,11299.304406616984,10366.523559023752,9575.302219407033,63809.77798813604
2.8829990000000003,8503.094481,7766.302831,9361.938937,10940.850144,13663.326018000002,19787.739691,13581.038955000002,17062.492010999995,6669.565046,,11305.835250344875,10373.354044467795,9582.389044380145,63781.70209107544
2.892832,8510.960164,7773.439907999999,9370.384576,10946.695424,13662.553861000002,19765.995269,13587.099265,17067.102277999995,6675.899375,,11312.376516212993,10380.193645570876,9589.484688381024,63753.52590248627
2.9026970000000003,8518.833123,7780.583544,9378.837835,10952.543827,13661.781748,19744.274741,13593.16228,17071.71379,6682.239719,,11318.926115636072,10387.040164701739,9596.586868331942,63725.25801878523
2.9125970000000003,8526.713365000001,7787.733745,9387.298719,10958.395354,13661.009678999999,19722.578081,13599.228000000001,17076.326547999997,6688.586085,,11325.485947750682,10393.895573320633,9603.697626160416,63696.889843555604
2.92253,8534.600896,7794.890517,9395.767236,10964.250006999999,13660.237653,19700.905263999997,13605.296425999999,17080.940552,6694.938478,,11332.054592981029,10400.758373860068,9610.815405296364,63668.42710774188
2.932497,8542.495724,7802.053865999999,9404.243393,10970.107788,13659.46567,19679.256262,13611.367561000001,17085.555804,6701.296905,,11338.63262048673,10407.629147234158,9617.940805140659,63639.866945871814
2.942498,8550.397854,7809.223796999999,9412.727197,10975.968699,13658.693732,19657.63105,13617.441404,17090.172302000003,6707.661370000001,,11345.219936413388,10414.507781423072,9625.073706355504,63611.20935794541
2.9525330000000003,8558.307295,7816.400318000001,9421.218654,10981.832741,13657.921837000002,19636.029602000002,13623.517959,17094.790047999995,6714.03188,,11351.816447162539,10421.394164721649,9632.213989967942,63582.45434396265
2.962602,8566.224051000001,7823.583434,9429.717771,10987.699917000002,13657.149985,19614.451891,13629.597224000001,17099.409041,6720.40844,,11358.422059395083,10428.288185744113,9639.36153737499,63553.60190392355
2.972706,8574.148131999998,7830.773151,9438.224554999999,10993.570226,13656.378177,19592.897891,13635.679202000001,17104.029282,6726.791056,,11365.037334095252,10435.190415768033,9646.51693768332,63524.64917235586
2.982844,8582.079542,7837.969475,9446.739014,10999.443672,13655.606413,19571.367577,13641.763894999998,17108.650772,6733.179734,,11371.661521758828,10442.100058601309,9653.679362346296,63495.59901473183
2.993017,8590.018289,7845.172412000001,9455.261154,11005.320256000005,13654.834691999999,19549.860922,13647.851302000001,17113.273511000003,6739.574479999999,,11378.295181270825,10449.017683061822,9660.849397870206,63466.4485655792
3.0032240000000003,8597.859733,7852.261587999999,9463.788294000002,11011.19998,13654.063015,19528.377901,13653.941426,17117.897497999995,6745.817494,,11384.937566301009,10455.942496746547,9668.02621984707,63437.200690370235
3.013466,8605.497512,7859.114654000001,9472.317712,11017.082845,13653.291382,19506.918486000002,13660.034268000001,17122.522734999995,6751.74838,,11391.589233647559,10462.87506603092,9675.21041220231,63407.85252363268
3.0237439999999998,8613.142077,7865.973701000001,9480.854817,11022.968852,13652.519792,19485.482654,13666.129828000001,17127.149222,6757.684481,,11398.250735116191,10469.815951390661,9682.402552527692,63378.40119989429
3.034056,8620.793432999999,7872.838734,9489.399617000001,11028.858005,13651.748246000001,19464.070376,13672.228109,17131.776958999995,6763.6258,,11404.920679055454,10476.7636884865,9689.60112037764,63348.852450099555
3.044403,8628.451584999999,7879.709759,9497.952117,11034.750304000001,13650.976744,19442.681629,13678.329109999999,17136.405945999995,6769.572343000001,,11411.599619155437,10483.718840061108,9696.80669584204,63319.20340877623
3.054786,8636.116541,7886.586779999999,9506.512326,11040.645751,13650.205285,19421.316385,13684.432834000001,17141.036184,6775.524114,,11418.2881041206,10490.681962967055,9704.019852689637,63289.45121045207
3.065204,8643.788305,7893.469804,9515.080248999999,11046.544347,13649.433869,19399.974619,13690.539282,17145.667673,6781.481118000001,,11424.985393274117,10497.652271602568,9711.239774007243,63259.598720599315
3.075657,8651.466885,7900.358833999999,9523.655895,11052.446095000001,13648.662497,19378.656305,13696.648455,17150.300413,6787.443359000001,,11431.691392389568,10504.629653707547,9718.466340543007,63229.645939217975
3.086147,8659.152286,7907.253876999999,9532.239269,11058.350997,13647.891169,19357.361417,13702.760354,17154.934405,6793.410843000001,,11438.407286657995,10511.615327706379,9725.700811100392,63199.58713536356
3.0966720000000003,8666.844514,7914.154937,9540.83038,11064.259052,13647.119885,19336.089930000002,13708.87498,17159.56965,6799.383572,,11445.131698056482,10518.607845525976,9732.94168293098,63169.42803998055
3.1072330000000004,8674.543574999998,7921.062020999999,9549.429232999999,11070.170265,13646.348644,19314.841818,13714.992334999999,17164.206146,6805.361553,,11451.865170184034,10525.60775806922,9740.1895235338,63139.1657875967
3.117829,8682.249476,7927.975131999999,9558.035837000001,11076.084635,13645.577446000001,19293.617055000002,13721.112419,17168.843895999995,6811.344790000001,,11458.60697046983,10532.614289446936,9747.443526601783,63108.80324368427
