mearth,earth,mercury,moon,0.01_hhe,0.1_hhe,1_hhe,halfwater,allwater,allfe,10_hhe,20_water,10_water,3_water
7.764565,10952.836573,9952.755012,12119.615017,12857.008107,14239.190574,17193.259483999995,15886.189254,19171.797934,8571.287892,29724.966686020118,13538.04712192288,12587.28894772135,11847.53934798091
7.791045,10962.087218,9960.952488,12130.163804,12864.326349,14243.327382,17192.037019,15896.504918,19181.005689,8578.445983,29704.73984178324,13546.76447555431,12595.588600999743,11855.961523410544
7.817616,10971.345675,9969.156717,12140.721773,12871.648757,14247.465392,17190.814641,15906.827279,19190.217866,8585.610052,29684.627096328422,13555.490078740559,12603.89623136121,11864.391929028347
7.844277,10980.611952,9977.367703,12151.288932,12878.975333,14251.604604,17189.592348999995,15917.156344,19199.434467,8592.780103,29664.62820849155,13564.22352069517,12612.211493379782,11872.830220078999
7.871029,10989.886055000003,9985.585452,12161.865288000003,12886.306079,14255.745019,17188.370145,15927.492116,19208.655496,8599.956143,29644.741445049127,13572.965047051764,12620.53466657393,11881.276685828147
7.897871999999999,10999.167991,9993.809969000002,12172.450849,12893.640998,14259.886637,17187.148028,15937.834599,19217.880952,8607.138175,29624.965848180298,13581.714575094058,12628.865717786015,11889.731298076815
7.924807,11008.457767000002,10002.041261,12183.045624,12900.980091,14264.029458000003,17185.925996999995,15948.183799,19227.11084,8614.326205999998,29605.299748401783,13590.47234727758,12637.204923414234,11898.194342605628
7.951834,11017.755389000002,10010.279332,12193.649621,12908.333546,14268.351828,17185.191492999995,15957.998833,19236.547168,8621.520239,29585.74223788431,13599.238279317467,12645.552248662725,11906.665789212868
7.978952999999998,11027.060863,10018.524188,12204.262847,12915.72477,14273.263459,17186.063452999995,15966.036404,19246.654204,8628.72028,29566.29242390432,13608.012287338766,12653.907659006389,11915.14560778418
8.006164999999998,11036.374196,10026.775835,12214.885311,12923.120226,14278.17678,17186.935458,15974.078023,19256.76655,8635.926333999998,29546.948721314937,13616.794610197196,12662.271427134227,11923.634079809432
8.033469,11045.695396,10035.034278,12225.51702,12930.519916,14283.091793,17187.807507,15982.123692,19266.88421,8643.138406,29527.710988301198,13625.584840854335,12670.643210474116,11932.130862150663
8.060866,11055.024468,10043.299523,12236.157984,12937.923844,14288.008498,17188.6796,15990.173414,19277.007185,8650.356501,29508.577682951847,13634.383217315037,12679.023280583906,11940.636234757418
8.088357,11064.361419,10051.571576,12246.808209,12945.332011,14292.926895,17189.551737,15998.22719,19287.13548,8657.580624,29489.547303490537,13643.189974756277,12687.411906194004,11949.150474524233
8.115942,11073.706256,10059.850442,12257.467704,12952.744420000003,14297.846985,17190.423919,16006.285023,19297.269095,8664.81078,29470.619070885503,13652.005026367195,12695.809049155327,11957.673546670081
8.14362,11083.058986,10068.136127,12268.136477,12960.161073,14302.768769,17191.296144,16014.346914,19307.408035,8672.046974,29451.792898510357,13660.827967291809,12704.214368060002,11966.20510837318
8.171393,11092.419615,10076.428636,12278.814535,12967.581973,14307.692248,17192.168414,16022.412866,19317.552302,8679.289211,29433.066677536503,13669.659348906493,12712.62843219932,11974.745740962324
8.199261,11101.788149,10084.727976,12289.501888,12975.007123,14312.617421,17193.040729,16030.48288,19327.701899,8686.537496,29414.439692586602,13678.49908298765,12721.051201308734,11983.295406839843
8.227223999999998,11111.164597000003,10093.034151,12300.198543,12982.436523,14317.544289,17193.913087,16038.556959,19337.856829,8693.791835,29395.911243469658,13687.347081603397,12729.482635072356,11991.854068113284
8.255281999999998,11120.548963,10101.347167000002,12310.904509,12989.870178,14322.472854,17194.785489999995,16046.635104,19348.017094,8701.052232,29377.48064529808,13696.20325709539,12737.92269307746,12000.421686542622
8.283436,11129.941256,10109.66703,12321.619792,12997.308089,14327.403115,17195.657937,16054.717318,19358.182697,8708.318692,29359.146580204873,13705.067836533062,12746.371634512176,12008.998527771882
8.311686,11139.341481,10117.993746,12332.344403,13004.750259,14332.335073,17196.530428999995,16062.803603,19368.353642,8715.59122,29340.908410961627,13713.940730426753,12754.829416516477,12017.584550580525
8.340032,11148.749645000002,10126.32732,12343.078347,13012.196691,14337.268729,17197.402964,16070.893961,19378.52993,8722.869822,29322.765515587518,13722.821849518268,12763.295996014385,12026.179713259919
8.368475,11158.165756,10134.667758,12353.821635,13019.647386,14342.204083,17198.275544,16078.988394,19388.711565,8730.154502999998,29304.716655602744,13731.711416917344,12771.77162730431,12034.784275727647
8.397014999999998,11167.589819,10143.015065,12364.574273,13027.102348,14347.141136,17199.148168,16087.086903,19398.89855,8737.445267,29286.761255992184,13740.60934146824,12780.256264649319,12043.39819303813
8.425651999999998,11177.021842,10151.369247,12375.33627,13034.561578,14352.079888,17200.020837,16095.189492,19409.090886,8744.74212,29268.898756901162,13749.515532203548,12788.749861972376,12052.021419611543
8.454387,11186.461831,10159.730311,12386.107635,13042.025079,14357.020341,17200.893549,16103.296162,19419.288578,8752.045067,29251.127997905653,13758.430208181304,12797.252668367568,12060.654209259455
8.483219999999998,11195.909792,10168.09826,12396.888375,13049.492854,14361.962495,17201.766306,16111.406914,19429.491628,8759.354112,29233.448465390986,13767.3532764677,12805.76463487182,12069.296512895842
8.512150999999998,11205.365734000003,10176.473102000002,12407.678498,13056.964904,14366.906349,17202.639108,16119.521752,19439.700039,8766.669262,29215.859660774357,13776.284644273157,12814.285712052866,12077.948280648723
8.541181,11214.829662,10184.854842,12418.478012,13064.441234000002,14371.851906000002,17203.511953,16127.640677,19449.913814,8773.99052,29198.360500327246,13785.2245265079,12822.816143468137,12086.609759824165
8.57031,11224.301583,10193.243486,12429.286927,13071.921844,14376.799164,17204.384843,16135.763692,19460.132954,8781.317893,29180.95053094514,13794.172828344646,12831.355876562993,12095.280896762119
8.599538,11233.781503,10201.639038,12440.10525,13079.406737,14381.748126,17205.257776999995,16143.890797,19470.357464,8788.651385,29163.629314397833,13803.129455055416,12839.904858179629,12103.961636859563
8.628866,11243.269431,10210.041506,12450.932988,13086.895916,14386.698792,17206.130755999995,16152.021996,19480.587346,8795.991001,29146.39584224449,13812.094617302675,12848.463325989058,12112.652220497925
8.658293999999998,11252.765372,10218.450894,12461.770151,13094.389384,14391.651161,17207.003777999995,16160.157291,19490.822603,8803.336747,29129.249720931275,13821.068218247205,12857.031223463755,12121.352588991911
8.687822,11262.269333,10226.867208,12472.616747,13101.887142,14396.605236,17207.876844999995,16168.296683,19501.063238,8810.688628,29112.19057158544,13830.050161103432,12865.608493334386,12130.062682551063
8.717451,11271.781321,10235.290454,12483.472783,13109.389194,14401.561016,17208.749957,16176.440174,19511.309253,8818.046648,29095.217459602296,13839.040652182617,12874.19536701861,12138.782734193921
8.747180999999998,11281.301342,10243.720639,12494.338268,13116.895541000002,14406.518501,17209.623112,16184.587767,19521.560651,8825.410813,29078.33004994145,13848.039592512414,12882.791783619276,12147.512679741609
8.777012,11290.829405,10252.157766,12505.213211,13124.406186,14411.477694,17210.496312,16192.739464,19531.817435,8832.781128,29061.528022016846,13857.0468831279,12891.397681354256,12156.252453743004
8.806945,11300.365514,10260.601843,12516.097619,13131.921131,14416.438593,17211.369557,16200.895267,19542.079609,8840.157597999998,29044.810513557943,13866.062725882522,12900.0132850043,12165.002281396928
8.836980999999998,11309.909678,10269.052874000003,12526.991501,13139.44038,14421.4012,17212.242845,16209.055177,19552.347174,8847.540229,29028.176695463422,13875.087319636577,12908.638815736716,12173.76238387037
8.867117999999998,11319.461902,10277.510866,12537.894864000002,13146.963934,14426.365515,17213.116178,16217.219198,19562.620134,8854.929025,29011.627411847167,13884.11996220428,12917.273632496044,12182.532106256693
8.897359,11329.022194,10285.975825,12548.807718,13154.491796,14431.33154,17213.989555,16225.38733,19572.898492,8862.323991,28995.160772858086,13893.161450314607,12925.918526068921,12191.312247455407
8.927702,11338.590561000003,10294.447755,12559.73007,13162.023969000002,14436.299273,17214.862977,16233.559576,19583.18225,8869.725133,28978.777646060087,13902.211082395226,12934.572853837759,12200.102150153936
8.95815,11348.167009,10302.926664,12570.661929000002,13169.560454,14441.268717,17215.736442,16241.735939,19593.471411,8877.132456,28962.476210838708,13911.269648384208,12943.237398416653,12208.902604177129
8.988699999999998,11357.751545,10311.412556,12581.603303000002,13177.101255,14446.239871,17216.609953,16249.91642,19603.765978,8884.545965,28946.257886360298,13920.336150853169,12951.91123182584,12217.712661516423
9.019356,11367.344176,10319.905437,12592.5542,13184.646373,14451.212737,17217.483507,16258.101021,19614.065954,8891.965666,28930.12038244669,13929.411670793039,12960.595413232222,12226.53339207684
9.050115000000002,11376.944909,10328.405313,12603.514629,13192.195812000002,14456.187314,17218.357106,16266.289744,19624.371341,8899.391562,28914.06513195866,13938.49521272559,12969.289013969425,12235.363846263077
9.08098,11386.553751,10336.91219,12614.484597,13199.749573,14461.163604,17219.230748999995,16274.482592,19634.682143,8906.82366,28898.09043595833,13947.58755510046,12977.992801729177,12244.204797078248
9.11195,11396.170708,10345.426074000003,12625.464114,13207.30766,14466.141607,17220.104436,16282.679566,19644.998363,8914.261964999998,28882.196705491373,13956.688293491135,12986.706410934077,12253.055865971059
9.143025,11405.795788,10353.946970000003,12636.453187,13214.870074,14471.121324,17220.978168,16290.880669,19655.320003,8921.706482,28866.38384061228,13965.797318969024,12995.42975746631,12261.91695981552
9.174206,11415.428997000003,10362.474884,12647.451825,13222.436819,14476.102754,17221.851943999995,16299.085902,19665.647065,8929.157216,28850.65125208252,13974.914814450227,13004.163035420208,12270.788267627531
9.205494,11425.070342000003,10371.009822,12658.460036,13230.007896,14481.0859,17222.725763999995,16307.295268,19675.979554,8936.614172,28834.99838074268,13984.040959742237,13012.906434745151,12279.669973750742
9.236889,11434.719829,10379.55179,12669.477828,13237.583309,14486.07076,17223.599629,16315.508769,19686.317471,8944.077355999998,28819.425191059414,13993.175640939611,13021.659862702596,12288.56197489242
9.26839,11444.377467,10388.100794,12680.50521,13245.163059,14491.057337,17224.473537999995,16323.726407,19696.660821,8951.546771999998,28803.93214975432,14002.318454020113,13030.422946977049,12297.463883258844
9.299999,11454.043262,10396.656838,12691.542191,13252.747149,14496.04563,17225.347492,16331.948184,19707.009604,8959.022426,28788.518262623285,14011.469865061516,13039.196147724762,12306.376156217302
9.331716,11463.71722,10405.21993,12702.588777,13260.335582,14501.035641,17226.22149,16340.174102,19717.363825,8966.504324,28773.18354395292,14020.629757233504,13047.979365021753,12315.298681682436
9.363541,11473.399348,10413.790075,12713.644979,13267.928360000002,14506.027369,17227.095532,16348.404163,19727.723486,8973.992469,28757.928020108095,14029.798013421356,13056.772497070791,12324.231345149949
9.395474,11483.089654,10422.367278,12724.710804,13275.525485,14511.020815,17227.969618,16356.63837,19738.08859,8981.486869,28742.751729430245,14038.974516208189,13065.575440143748,12333.174029631327
9.427517000000002,11492.788145,10430.951546,12735.78626,13283.126961000002,14516.015981,17228.843749,16364.876723,19748.45914,8988.987527,28727.6537838304,14048.159720448562,13074.388637984519,12342.127173775281
9.459668,11502.494826,10439.542884,12746.871357,13290.732789,14521.012865,17229.717924,16373.119226,19758.835139,8996.494449,28712.635199722998,14057.352932624775,13083.211430870684,12351.090094707048
9.491929,11512.209706,10448.141298,12757.966101,13298.342972,14526.01147,17230.592143999995,16381.365881,19769.21659,9004.00764,28697.69512835504,14066.55460405596,13092.044255903988,12360.063223249279
9.524301,11521.932791,10456.746795,12769.070503,13305.957513,14531.011796,17231.466408,16389.616688999995,19779.603495,9011.527105,28682.833221502042,14075.764895842014,13100.887270180088,12369.046705221206
9.556783,11531.664088,10465.359379,12780.184569,13313.600335,14536.279338,17233.172813,16398.861894,19790.189884,9019.052851,28668.050064169634,14084.983398969629,13109.74008162566,12378.040127988741
9.589375,11541.403604,10473.979057,12791.308309,13321.262272000002,14541.71217,17235.391321,16408.721830999995,19800.90136,9026.584881,28653.345787201666,14094.209989615747,13118.60257000618,12387.04335450804
9.622079,11551.151345,10482.605834,12802.441732,13328.928618000002,14547.147032,17237.610114,16418.587697,19811.618633,9034.123201,28638.719641713928,14103.44510761114,13127.47515474141,12396.056795382638
9.654894,11560.90732,10491.239717,12813.584844000003,13336.599377,14552.583925,17239.829193,16428.459495,19822.341707,9041.667817,28624.172244796246,14112.688342731899,13136.357436795286,12405.080029180639
9.687821,11570.671534,10499.880711,12824.737656,13344.274549,14558.022851,17242.048557999995,16438.337228,19833.070584,9049.218734,28609.70333329956,14121.939848384915,13145.249556675923,12414.113181988803
9.72086,11580.443995,10508.528822,12835.900174,13351.954139,14563.463809,17244.268208,16448.2209,19843.805269,9056.775956,28595.31310336848,14131.199494792132,13154.151380790916,12423.156100844762
9.754012,11590.22471,10517.184055,12847.072409,13359.638148,14568.906801,17246.488144,16458.110515,19854.545764,9064.33949,28581.001331305328,14140.467430921033,13163.063041503414,12432.20890234972
9.787278,11600.013685000002,10525.846418,12858.254368000002,13367.32658,14574.351827,17248.708365999995,16468.006076,19865.292072,9071.90934,28566.76781848114,14149.743802446352,13171.984666087981,12441.271697311184
9.820656,11609.810928,10534.515915000002,12869.446059000002,13375.019436,14579.798888,17250.928874,16477.907586,19876.044197,9079.485512,28552.61365744802,14159.02791834466,13180.915574900171,12450.343776234253
9.854148,11619.616446,10543.192553,12880.647491,13382.716719,14585.247984,17253.149667,16487.815051,19886.802141,9087.068011,28538.538246197648,14168.320201102875,13189.85615710114,12459.42551470982
9.887755,11629.430246000002,10551.876337,12891.858673,13390.418432,14590.699118,17255.370747,16497.728471999995,19897.565908,9094.656842,28524.541436716914,14177.620790677494,13198.80652809331,12468.517009585259
9.921476,11639.252334,10560.567274000003,12903.079614,13398.124577,14596.140056,17257.592111999995,16507.647852999995,19908.335501,9102.252011,28510.623926551787,14186.92927230645,13207.76626718233,12477.617812514916
9.955313,11649.082717,10569.265369,12914.31032,13405.835158000002,14601.555181,17259.813762999995,16517.573198999995,19919.110923,9109.853523,28496.78518551848,14196.246058472945,13216.735747588593,12486.72828091941
9.989264,11658.921403,10577.970628,12925.550802,13413.550175,14606.972315,17262.035701,16527.504512,19929.892178,9117.461383,28483.02633524399,14205.570458333943,13225.714278035359,12495.847690326724
10.023332000000002,11668.354162,10586.455495,12936.358278,13421.269633000002,14612.391459,17264.257924,16537.441797,19940.679267,9124.789015,28469.346477330957,14214.903154050184,13234.7024868464,12504.976655917375
10.057515,11677.58949,10594.834516,12946.955588,13428.993533,14617.812613,17266.480433,16547.385056,19951.472196,9131.980669,28455.746745736807,14224.243454341959,13243.699677336612,12514.114446415206
10.091815,11686.832128,10603.22017,12957.561579,13436.721878,14623.235779,17268.703228999995,16557.334294,19962.270965,9139.177991,28442.226683272725,14233.591761719541,13252.70620380016,12523.261397295477
10.126233,11696.082081,10611.61246,12968.176259,13444.454671,14628.660956,17270.926311,16567.289514,19973.07558,9146.380985,28428.78625823863,14242.948201010371,13261.722150732114,12532.417569291365
10.160767000000002,11705.339356,10620.011393,12978.799633,13452.191914000003,14634.088147,17273.149678,16577.25072,19983.886043,9153.589656,28415.42661577357,14252.312081241504,13270.746813873013,12541.582221437902
10.19542,11714.603957,10628.416973,12989.43171,13459.93361,14639.51735,17275.373333,16587.217915,19994.702357,9160.804009,28402.146971803573,14261.684066920227,13279.780792655749,12550.755936003492
10.23019,11723.875891,10636.829207,13000.072497,13467.679761,14644.948568,17277.597273,16597.191103,20005.524525,9168.024047,28388.94848139034,14271.063466524509,13288.823376886634,12559.937964630415
